A row at the top, called the "header", often contain information about the dataset.
x,y
0.1854463662020862,2015-11-09
0.3264005221426487,2017-01-13
0.8170736429747194,2011-02-25
0.7487379980739206,2019-04-04
0.5317418694030493,2022-04-01
0.9615713683888316,2016-05-04
0.10404637176543474,2010-06-02
0.7371236665640026,2017-03-08
0.847479980904609,2014-11-17
0.6437387536279857,2011-07-08
0.23245719773694873,2010-03-26
0.9162295656278729,2015-11-20
0.4245975555386394,2018-08-28
0.19294350570999086,2017-09-17
0.7015503356233239,2010-10-17
0.9925807097461075,2023-08-21
0.7089125071652234,2015-10-13
0.007070775609463453,2014-08-21
0.940870595164597,2021-04-29
0.06820935127325356,2020-04-19
0.13692918047308922,2013-03-20
0.332817024551332,2014-08-25
0.4896882916800678,2014-09-27
0.17295454000122845,2014-02-20
0.06493924162350595,2018-07-18
0.45166698982939124,2013-05-20
0.3794023538939655,2011-04-26
0.9092983675654978,2012-07-29
0.029946457827463746,2010-06-26
0.19479636382311583,2017-02-12
0.6794793712906539,2012-06-16
0.7474663024768233,2017-11-09
0.6495377144310623,2018-08-10
0.07758067711256444,2013-09-19
0.599653656128794,2017-12-03
0.8790108121465892,2013-03-08
0.7320371561218053,2011-09-25
0.08005308615975082,2023-08-25
0.8327498119324446,2016-06-30
0.8647056978661567,2011-03-29
0.712964971549809,2013-04-07
0.757407110882923,2013-07-20
0.12243391619995236,2010-05-10
0.1936978818848729,2012-05-28
0.31417828937992454,2018-06-28
0.13753298204392195,2013-01-10
0.8478028802201152,2010-11-25
0.4852219868917018,2018-10-31
0.47024272638373077,2014-04-13
0.7910453744698316,2018-10-01
0.31298327283002436,2023-05-03

